country	year	comments	quotes	countryCode
Iraq	June 2016 , 2017-2018	Negative	Iraq, crooked as hell. How about bringing baskets of money — millions and millions of dollars — and handing it out?	IRQ
Ireland	March 2017	Positive	"These are truly wonderful people.""Whenever there's a problem, you call, we'll solve it. Except for trade...They've got those taxes so low. You're a tough one to compete with on the taxes."	IRL
Israel	December 2016, December 2017	Positive	We cannot continue to let Israel be treated with such total disdain and disrespect. They used to have a great friend in the U.S., but.......not anymore. The beginning of the end was the horrible Iran deal, and now this (U.N.)! Stay strong Israel, January 20th is fast approaching!" <br><br> "I have determined that it is time to officially recognize Jerusalem as the capital of Israel. I am also directing the State Department to begin preparation to move the American Embassy from Tel Aviv to Jerusalem…	ISR
Italy	June 2018	Positive	Just met the new Prime Minister of Italy, @GiuseppeConteIT, a really great guy. He will be honored in Washington, at the @WhiteHouse, shortly. He will do a great job - the people of Italy got it right!	ITA
Japan	November 2017 (twice)	Both	“We want fair and open trade. But right now, our trade with Japan is not fair and it’s not open. The US has suffered massive trade deficits with Japan for many, many years. Many millions of cars are sold by Japan into the United States, whereas virtually no cars go from the US into Japan.” <br><br>  “The Japanese people are thriving. Your cities are vibrant and you've built one of the world's most powerful economies. I don't know if it’s as good as ours, I think not. OK? And we’re going to try and keep it that way, but you'll be second.”	JPN
Jordan	September 2017	Positive	Never has the relationship been better than it is right now.	JOR
Kazakhstan	January 2018	Positive	Kazakhstan is doing very well. They’re really — they’ve turned things around. They have a lot of advantages over some nations, frankly, and they have some tough situations. But the President is highly respected and has done a great, great job.	KAZ
Kuwait	September 2017	Positive	US relationship with Kuwait "has never been stronger - never, ever." "The Emir of Kuwait is a very special person who I've gotten to know over the, actually over the years”	KWT
Latvia	April 2018	Positive	Well, we have a very strong relationship, as the Presidents will tell you, with the Baltic States. And we are with them. We’re friends and we’re allies. And we are going to have a long-term, very fine relationship. In addition, we do business on trade. We work very hard on security together. Surprisingly, large numbers of trade. These are very industrious nations. Now, you’re from there so you know exactly what I’m talking about. These are tremendous people, and very, very industrious. We do a lot of business on trade.	LVA
Lebanon	April 2018	Positive	Lebanon is a country facing countless challenges, including an unprecedented influx of refugees and the corrosive influence of Iran and Hizballah. But as we can see from the success of this conference, Lebanon is also a country with many friends and enormous potential. I commend the government of Lebanon’s progress, under the leadership of Prime Minister Sa’ad Hariri, to address these pressing challenges. ... The United States is proud of our close ties with the Lebanese people, and stands in support of Lebanon’s efforts to strengthen its legitimate state institutions and develop an open, free economy that serves all Lebanese."	LBN
