country	year	comments	quotes	countryCode
Liberia	March 2018	Negative	Ordered the end to special legal status for certain immigrants from Liberia. "“Liberia is no longer experiencing armed conflict and has made significant progress in restoring stability and democratic governance." "Liberia has also concluded reconstruction from prior conflicts, which has contributed significantly to an environment that is able to handle adequately the return of its nationals."	LBR
Libya	October 2015 , 2017-2018	Negative	Said the world would be "100%" better off if Moammar Gadhafi were still in power. "Right now, Iraq is a training ground for terrorists. Right now Libya, nobody even knows Libya, frankly there is no Iraq and there is no Libya. It's all broken up. They have no control. Nobody knows what's going on." <br><br> Administration has fought to ban immigrants from this and other countries.	LBY
Lithuania	April 2018	Positive	Well, we have a very strong relationship, as the Presidents will tell you, with the Baltic States. And we are with them. We’re friends and we’re allies. And we are going to have a long-term, very fine relationship. In addition, we do business on trade. We work very hard on security together. Surprisingly, large numbers of trade. These are very industrious nations. Now, you’re from there so you know exactly what I’m talking about. These are tremendous people, and very, very industrious. We do a lot of business on trade.	LTU
Malaysia	July 2017	Positive	You know, a lot of people say – they say, well, but the United States is large. And then you call places like Malaysia, Indonesia, and you say, you know, how many people do you have? And it’s pretty amazing how many people they have.	MYS
Mali	September 2017	Negative	As you well know, too many people are suffering from conflict in Africa. In the Central African Republic, the Congo, Libya, Mali, Somalia, and South Sudan, among others, they’re going through some very, very tough and very dangerous times.	MLI
Mexico	June 2015 , January 2018	Negative	They’re sending people that have lots of problems, and they’re bringing those problems with us. They’re bringing drugs. They’re bringing crime. They’re rapists. And some, I assume, are good people. <br><br> "We need the Wall for the safety and security of our country. We need the Wall to help stop the massive inflow of drugs from Mexico, now rated the number one most dangerous country in the world. If there is no Wall, there is no Deal!"	MEX
Montenegro	May 2017, July 2018	Negative	Appeared to push aside Montenegro Prime Minister Dusko Markovic as they were given a tour of NATO's new headquarters. <br><br> Voiced concern that sending NATO troops to defend an ‘‘aggressive’’ Montenegro could result in World War III. "You know, Montenegro is a tiny country with very strong people. . . . They are very aggressive people, they may get aggressive, and congratulations, you’re in World War III. But that’s the way it was set up. Don’t forget, I just got here a little more than a year and a half ago."	MNE
Myanmar	May 2018	Negative	In a letter to Bangladeshi Prime Minister Sheikh Hasina, Trump wrote: “The United States will continue to pressure Myanmar to create necessary conditions for the safe and voluntary return of the Rohingya people to their homeland."	MMR
Namibia	September 2017	Unsure	Apparently referring to Namibia, “I'm greatly honored to host this lunch, to be joined by the leaders of Côte d’Ivoire, Ethiopia, Ghana, Guinea, Nambia, Nigeria, Senegal, Uganda, and South Africa. ... Nambia’s health system is increasingly self-sufficient.”	NAM
Nepal	2017-18	Negative	Administration ended federal protections for immigrants from this country	NPL
New Zealand	November 2016	Positive	Australia, New Zealand, and more. I am always available to them. @nytimes is just upset that they looked like fools in their coverage of me.	NZL
Nicaragua	2017-18	Negative	Administration ended federal protections for immigrants from this country	NIC
Nigeria	April 2018	Negative	"We've had serious problems with Christians who have been murdered, killed in Nigeria. We're going to be working on that problem and working on that problem very, very hard."	NGA
North Korea	fall 2017-early 2018, June 2018(twice)	Both	Kim Jong Un of North Korea, who is obviously a madman who doesn't mind starving or killing his people, will be tested like never before!" "Why would Kim Jong-un insult me by calling me "old," when I would NEVER call him "short and fat?" Oh well, I try so hard to be his friend - and maybe someday that will happen!" "The Chinese Envoy, who just returned from North Korea, seems to have had no impact on Little Rocket Man. Hardto believe his people, and the military, put up with living in such horrible conditions. Russia and China condemned the launch." "North Korean Leader Kim Jong Un just stated that the “Nuclear Button is on hisdesk at all times.” Will someone from his depleted and food starved regime please inform him that I too have a Nuclear Button, but it is a much bigger & more powerful one than his, and my Button works!<br><br> "They have great beaches. You see that whenever they’re exploding their cannons into the ocean, right? I said, ‘Boy, look at the view. Wouldn’t that make a great condo behind?’ And I explained, I said, ‘You know, instead of doing that, you could have the best hotels in the world right there.’ Think of it from a real estate perspective. You have South Korea, you have China, and they own the land in the middle. How bad is that, right? It’s great.” <br><br> Referring to leader Kim Jong Un: ‘‘He’s the head of a country, and I mean he’s the strong head. Don’t let anyone think anything different. He speaks and his people sit up at attention. I want my people to do the same.’’ and "Well, he is very talented. Anybody that takes over a situation like he did, at 26 years of age, and is able to run it, and run it tough — I don’t say he was nice or I don’t say anything about it — he ran it. Very few people, at that age — you can take one out of ten thousand, probably, couldn’t do it.	PRK
Norway	January 2018	Positive	"We should have more people from Norway"	NOR
Pakistan	January 2018	Negative	The United States has foolishly given Pakistan more than 33 billion dollars in aid over the last 15 years, and they have given us nothing but lies & deceit, thinking of our leaders as fools. They gave safe haven to the terrorists we hunt in Afghanistan, with little help. No more!	PAK
Palestine	January 2018	Negative	"It's not only Pakistan that we pay billions of dollars to for nothing, but also many other countries, and others. As an example, we pay the Palestinians HUNDRED OF MILLIONS OF DOLLARS a year and get no appreciation or respect. They don’t even want to negotiate a long overdue... ...peace treaty with Israel. We have taken Jerusalem, the toughest part of the negotiation, off the table, but Israel, for that, would have had to pay more. But with the Palestinians no longer willing to talk peace, why should we make any of these massive future payments to them?"	PSX
Peru	February 2017	Positive	Peru has been a fantastic neighbor. We’ve had great relationships — better now than ever before.	PER
Philippines	November 2017, May 2017	Positive	We’ve had a great relationship. This has been very successful. … I’ve really enjoyed being here. The weather is always good. Today it’s pretty good. But one thing about the Philippines — eventually it gets good, no matter what." <br><br> Speaking to Philippines President Rodrigo Duterte “I just wanted to congratulate you because I am hearing of the unbelievable job on the drug problem.	PHL
Poland	July 2017	Positive	America is proud to stand shoulder-to-shoulder with Poland in the fight to eradicate the evils of terrorism and extremism. #POTUSinPoland "A strong Poland is a blessing to the nations of Europe, and a strong Europe is a blessing to the West, and to the world." "My experience yesterday in Poland was a great one. Thank you to everyone, including the haters, for the great reviews of the speech!"	POL
Portugal	June 2018	Positive	We have a tremendous relationship with Portugal for a long time, and I would say it’s never been better than it is right now.	PRT
Puerto Rico	October 2017	Negative	“I hate to tell you, Puerto Rico, but you’ve thrown our budget a little out of whack because we’ve spent a lot of money on Puerto Rico.”	PRI
Qatar	June 2017 (twice)	Negative	During my recent trip to the Middle East I stated that there can no longer be funding of Radical Ideology. Leaders pointed to Qatar - look! "So good to see the Saudi Arabia visit with the King and 50 countries already paying off. They said they would take a hard line on funding......extremism, and all reference was pointing to Qatar. Perhaps this will be the beginning of the end to the horror of terrorism! <br><br> "The nation of Qatar, unfortunately, has historically been a funder of terrorism at a very high level, and in the wake of that conference, nations came together and spoke to me about confronting Qatar over its behavior.  So we had a decision to make:  Do we take the easy road, or do we finally take a hard but necessary action?  We have to stop the funding of terrorism.  I decided, along with Secretary of State Rex Tillerson, our great generals and military people, the time had come to call on Qatar to end its funding — they have to end that funding — and its extremist ideology in terms of funding."	QAT
Romania	June 2017	Positive	The people of Romania have endured many, many hardships, but they have made a truly remarkable, historical journey.  The future of Romania and Romania’s relationship with the United States is very, very bright.	ROU
Russia	April 2018, July 2018 (twice)	Both	Many dead, including women and children, in mindless CHEMICAL attack in Syria, Trump tweeted. "Area of atrocity is in lockdown and encircled by Syrian Army, making it completely inaccessible to outside world. President Putin, Russia and Iran are responsible for backing Animal Assad. Big price.......to pay. Open area immediately for medical help and verification. Another humanitarian disaster for no reason whatsoever. SICK!" <br><br> "You know what? Putin's fine. He's fine. We're all fine. We're people." <br><br> "I don’t see any reason why” Russia would interfere in 2016 election.	RUS
Samoa	January 2018	Negative	Administration removed this country from list of countries whose residents are eligible for seasonal visas.	WSM
Saudi Arabia	Nov 2017 , June 2018	Positive	I have great confidence in King Salman and the Crown Prince of Saudi Arabia, they know exactly what they are doing.... ....Some of those they are harshly treating have been “milking” their country for years! <br><br> "Just spoke to King Salman of Saudi Arabia and explained to him that, because of the turmoil & disfunction in Iran and Venezuela, I am asking that Saudi Arabia increase oil production, maybe up to 2,000,000 barrels, to make up the difference...Prices to high! He has agreed!"	SAU
Singapore	July 2017	Positive	The Prime Minister of Singapore — we’re very close, the relationship is very close, and we expect to do some excellent things together in many ways. And we have a very big relationship now. It will probably get much bigger.	SGP
Somalia	2017-18	Negative	Administration has fought to ban immigrants from this and other countries.	SOL
South Africa	April 2015	Negative	As I have long been saying, South Africa is a total - and very dangerous - mess. Just watch the evening news (when not talking weather).	ZAF
South Korea	May 2018	Positive	It’s a great honor to have President Moon of South Korea with us. We’ve become great friends over the years. And it’s now — we’ve now known each other for quite some time. We’re working on many things. Obviously, North Korea is the big one. No matter how big trade is, North Korea, in this case, is the big one. And we’ll be discussing that. We’ll also be discussing trade. We have a very big trade arrangement that we’re renegotiating right now with South Korea. They’ve been excellent people to work with for the Trump administration. And we will have some pretty good news, I think, on trade. And we’ll be discussing other things.	KOR
South Sudan	September 2017	Negative	We're closely monitoring and deeply disturbed by the ongoing violence in South Sudan and in the Congo. Millions of lives are at risk, and we continue to provide humanitarian assistance. But real results in halting this catastrophe will require an African-led peace process and a sincere — really sincere commitment of all parties involved.	SDS
Spain	September 2017	Both	I really think the people of Catalonia would stay with Spain. I think it would be foolish not to. Because you’re talking about staying with a truly great, beautiful, and very historic country.	ESP
Sudan	2017-18	Negative	Administration has fought to ban immigrants from this and other countries. <br><br> Administration ended federal protections for immigrants from this country	SDN
Sweden	February 2017	Negative	You look at what’s happening last night in Sweden. Sweden, who would believe this?” Sweden. They took in large numbers. They’re having problems like they never thought possible.”	SWE
Switzerland	January 2018	Positive	Switzerland is just a great place. So many friends in Switzerland. Great investors. And you have a lot of our stock in the United States. So I have helped to make Switzerland even richer, and I’m very happy about that.	CHE
Syria	2017-18, April 2018	Negative	Administration has fought to ban immigrants from this and other countries. <br><br> "Many dead, including women and children, in mindless CHEMICAL attack in Syria," Trump tweeted. "Area of atrocity is in lockdown and encircled by Syrian Army, making it completely inaccessible to outside world. President Putin, Russia and Iran are responsible for backing Animal Assad. Big price.......to pay. Open area immediately for medical help and verification. Another humanitarian disaster for no reason whatsoever. SICK!"	SYR
